                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3478,                0.96616,                 1.7419,                0.77851,                0.76407,                0.81652,                0.44123,                 1.7238,                 1.1736,                 2.1697,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.3278,                0.96088,                 1.7141,                0.77993,                 0.7597,                0.79947,                0.46099,                 1.6108,                  1.146,                 2.0624,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.3318,                0.95662,                 1.7342,                0.82218,                0.77111,                0.83804,                0.48249,                 1.6011,                 1.0191,                 2.0576,               0.000359,               0.000359,               0.000359
                     38,                 1.3412,                 0.9465,                 1.7388,                0.81296,                 0.8171,                0.85657,                0.49231,                 1.6183,                0.99793,                 2.0606,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.2981,                0.88237,                 1.7024,                0.80607,                 0.7433,                0.83228,                0.44456,                 1.7282,                 1.1753,                  2.184,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.3062,                 0.8933,                 1.7048,                0.80517,                 0.8069,                0.85854,                0.47138,                 1.7021,                 1.0156,                  2.135,             0.00028475,             0.00028475,             0.00028475
                     41,                 1.2853,                0.79828,                  1.805,                0.80529,                0.79616,                0.85818,                 0.4784,                 1.6748,                 1.0321,                 2.1158,                0.00026,                0.00026,                0.00026
                     42,                 1.2556,                0.76856,                 1.8054,                0.79427,                0.81174,                 0.8536,                0.48439,                 1.6265,                 1.0407,                 2.0728,             0.00023525,             0.00023525,             0.00023525
                     43,                 1.2345,                0.73774,                 1.7812,                0.81332,                0.81478,                0.85966,                0.48733,                 1.6525,                 1.0484,                 2.1169,              0.0002105,              0.0002105,              0.0002105
                     44,                 1.2187,                0.72268,                 1.7539,                0.79854,                0.79427,                0.85021,                 0.4753,                 1.6517,                 1.0761,                 2.1277,             0.00018575,             0.00018575,             0.00018575
                     45,                  1.208,                0.70682,                 1.7543,                0.81891,                 0.8158,                0.85972,                 0.4731,                 1.6922,                 1.0311,                 2.1697,               0.000161,               0.000161,               0.000161
                     46,                 1.1835,                0.68982,                 1.7165,                0.83383,                 0.7881,                 0.8723,                0.47171,                  1.716,                 1.0014,                 2.1812,             0.00013625,             0.00013625,             0.00013625
                     47,                 1.1727,                0.67817,                 1.7035,                0.85814,                0.76684,                0.86465,                 0.4861,                 1.6537,                 1.0353,                 2.1189,              0.0001115,              0.0001115,              0.0001115
                     48,                 1.1607,                  0.674,                  1.706,                0.86968,                0.81344,                0.88295,                0.49376,                 1.6541,                0.95009,                 2.1462,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                 1.1504,                0.65306,                 1.6953,                0.87242,                 0.7826,                0.87417,                0.49142,                 1.6707,                0.99166,                  2.157,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 1.1418,                0.64614,                 1.6885,                0.87793,                0.79312,                0.88352,                0.49084,                  1.672,                0.94044,                 2.1628,              3.725e-05,              3.725e-05,              3.725e-05
