                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.58884,                0.78569,                 1.1835,                0.88562,                0.89273,                0.96064,                0.86361,                 0.4682,                0.54836,                 1.2105,             0.00034108,             0.00034108,             0.00034108
                     37,                0.57111,                 0.7707,                 1.1667,                 0.8559,                0.92642,                0.96254,                0.86531,                0.47728,                0.51696,                 1.2338,             0.00031908,             0.00031908,             0.00031908
                     38,                0.56837,                0.76124,                 1.1689,                0.86547,                0.88726,                0.96146,                0.86795,                0.48757,                0.50566,                 1.2181,             0.00029708,             0.00029708,             0.00029708
                     39,                0.55337,                0.73686,                 1.1499,                0.90145,                0.94173,                 0.9709,                0.88043,                0.45929,                0.45258,                 1.1919,             0.00027508,             0.00027508,             0.00027508
                     40,                0.55804,                0.74345,                 1.1497,                0.87975,                0.94231,                0.96478,                0.86552,                0.48988,                 0.4457,                 1.2342,             0.00025309,             0.00025309,             0.00025309
                     41,                0.42002,                0.60332,                 1.1563,                0.71525,                0.83031,                0.86522,                0.51441,                  1.991,                 1.1961,                  4.351,             0.00023109,             0.00023109,             0.00023109
                     42,                0.40801,                0.47024,                 1.1427,                0.92763,                0.97538,                0.97991,                0.88826,                 0.4676,                 0.3907,                 1.1997,             0.00020909,             0.00020909,             0.00020909
                     43,                0.39205,                0.38737,                 1.1206,                0.93077,                0.96183,                0.98137,                0.89423,                0.45459,                0.35697,                 1.1776,             0.00018709,             0.00018709,             0.00018709
                     44,                0.38384,                0.42365,                  1.102,                0.92911,                0.92036,                0.97934,                0.89402,                0.45758,                0.41585,                 1.1749,             0.00016509,             0.00016509,             0.00016509
                     45,                 0.3822,                0.41579,                 1.1007,                0.95329,                0.93872,                0.98247,                 0.8915,                0.46795,                0.36793,                 1.1921,              0.0001431,              0.0001431,              0.0001431
                     46,                0.37791,                0.39236,                 1.1004,                0.93959,                0.96555,                0.97765,                0.89166,                0.45321,                0.34119,                  1.168,              0.0001211,              0.0001211,              0.0001211
                     47,                0.37524,                0.35956,                 1.0975,                0.94079,                0.96435,                0.97772,                0.88765,                0.45973,                0.33969,                 1.1735,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.36525,                0.36121,                 1.0898,                0.92227,                0.94042,                0.97013,                0.88098,                0.44936,                0.36727,                 1.1588,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.36804,                0.34941,                 1.0869,                0.96226,                0.95493,                0.98164,                0.89346,                0.45346,                0.31253,                 1.1651,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                0.35306,                0.33932,                 1.0823,                0.94156,                0.95907,                0.97677,                0.88619,                0.44908,                0.33948,                 1.1663,             3.3108e-05,             3.3108e-05,             3.3108e-05
